variables = x y Den P T Ma u v E H
zone i=197 and j=30
1.865863540226231e-05 2.418237157597573e-05 1.147547587327039 94866.55584495445 287.9849219855552 0.07014439007234681 1.61221189998173e-06 1.635093042517966e-06 206957.2495097567 289626.2012149302 19950887.7921939 -2948268.728175095
1.943697665109215e-05 2.437319780454559e-05 1.14723799794026 94843.56002818749 287.9928093106466 0.06688076534912564 -3.769160398015003e-06 2.031718446815489e-07 206937.0569380432 289608.2727787574 19624274.7140717 -2523499.313400832
2.02210342824657e-05 2.453897892477663e-05 1.147115424190905 94835.92019989889 288.0003813032475 0.06343177797569849 -9.833419229110518e-06 -1.042654212080052e-06 206916.5050576868 289589.894514597 19191338.62968802 -2134833.374315674
2.101000262416552e-05 2.467954458536125e-05 1.147171086393921 94842.79332946333 288.0072784074545 0.05982198339212104 -1.653762845421625e-05 -2.02920460978806e-06 206895.7270281464 289571.0963677903 18654929.41252758 -1783328.169948228
2.180307095788735e-05 2.479475034558115e-05 1.147394053289603 94863.16781231252 288.0131701316089 0.05607822482494546 -2.381992076028183e-05 -2.684582484424602e-06 206874.8608505635 289551.9214685432 18019393.4846252 -1469354.651038243
2.259942435230796e-05 2.488447782372996e-05 1.147771386679046 94895.87687154749 288.0177599026145 0.05222936946328674 -3.159809257091695e-05 -2.940707403309428e-06 206854.0419534601 289532.4201111046 17290580.16335534 -1192609.793809133
2.339824450048218e-05 2.494863481875841e-05 1.148288387690604 94939.62107231402 288.0207918959005 0.04830613279453122 -3.977136559640826e-05 -2.737098313443376e-06 206833.3987037846 289512.6472254218 16475836.63493491 -952153.8841599156
2.419871056070862e-05 2.49871554050172e-05 1.148928804233134 94992.98277926768 288.0220429896712 0.04434062503399086 -4.821952431655063e-05 -2.023291980166042e-06 206813.0371114546 289492.6447720696 15583949.15824647 -746445.4505097403
2.5e-05 2.5e-05 1.149675268894112 95054.46488341136 288.0213303570259 0.04036613137275894 -5.680805502805697e-05 -7.631023130070039e-07 206793.0397525157 289472.4428448036 14625086.32095578 -573394.4248837918
2.580128943929138e-05 2.49871554050172e-05 1.150509474971118 95122.49784418843 288.0184885482375 0.03641635978328573 -6.538742862138847e-05 1.065391851559627e-06 206773.4427434675 289452.0300661246 13610652.4218127 -430341.7571598479
2.660175549951782e-05 2.494863481875841e-05 1.151413011036444 95195.5082711679 288.013367946574 0.03252527430396453 -7.380357976494167e-05 3.463323043267907e-06 206754.2329002529 289431.3503029965 12553186.14618839 -314161.5370329171
2.740057564769204e-05 2.488447782372996e-05 1.152367913189325 95271.9735235899 288.0058615237002 0.02872574304024318 -8.189997204510746e-05 6.401934479205451e-06 206735.36416682 289410.3267758134 11466148.11256612 -221648.3270317689
2.819692904211265e-05 2.479475034558115e-05 1.153355941610523 95350.33625267902 287.9958269185183 0.02504892087489775 -8.951779658361581e-05 9.837084783026473e-06 206716.7043220639 289388.7863972937 10363622.08142666 -149415.545649325
