variables = x y Den P T Ma u v E H
zone i=197 and j=30
0.0473448 0.0108061 1.43765 1.35625e+10 81773.3 0.0889933 27.2714 -0 2.36367e+10 3.30705e+10 -815.254 14633.9
0.0476796 0.0100814 1.43368 1.35051e+10 81652.8 0.0922275 20.9292 -0 2.36058e+10 3.30257e+10 -1345.07 14571.4
0.0479911 0.00934626 1.43512 1.35196e+10 81658.4 0.0962313 9.98893 -0 2.36123e+10 3.30328e+10 -1239.94 14128.8
0.0482788 0.00860153 1.43257 1.34913e+10 81632.4 0.0942382 10.7746 -0 2.36024e+10 3.30199e+10 -1617.34 13391.8
0.0485424 0.00784797 1.43361 1.35003e+10 81627.5 0.0934668 2.2316 -0 2.36e+10 3.30169e+10 -1290.53 12740
0.0487818 0.00708634 1.43418 1.35023e+10 81607.3 0.0886448 7.866 -0 2.35886e+10 3.30032e+10 -1991.76 11668.1
0.0489967 0.00631742 1.43425 1.35048e+10 81618.5 0.0816995 9.66508 -0 2.35838e+10 3.29997e+10 -2356.8 10825.4
0.0491868 0.00554202 1.43567 1.35222e+10 81642.9 0.0761697 5.18269 -0 2.35852e+10 3.30039e+10 -1516.66 9879.33
0.049352 0.00476092 1.43596 1.35209e+10 81618.2 0.0668861 7.76715 -0 2.35693e+10 3.29851e+10 -1735.08 8519.6
0.049492 0.00397493 1.43736 1.35398e+10 81653.3 0.0584565 6.81873 -0 2.35724e+10 3.29923e+10 -1520.56 7459.19
0.0496068 0.00318486 1.43724 1.35378e+10 81647.6 0.0488839 5.59354 -0 2.35641e+10 3.29834e+10 -909.742 6020.33
0.0496962 0.00239151 1.43841 1.355e+10 81654.8 0.0393114 6.70864 -0 2.35605e+10 3.29806e+10 -825.38 4643.33
0.0497601 0.00159571 1.4383 1.35486e+10 81653 0.02957 4.39314 -0 2.35557e+10 3.29756e+10 -574.341 3125.29
0.0497984 0.000798264 1.43878 1.35543e+10 81659.6 0.0214384 6.73618 -0 2.35547e+10 3.29753e+10 -279.509 1588.4
0.0498112 1.49434e-18 1.43863 1.35522e+10 81655.6 0.0187725 3.35078 0 2.35528e+10 3.2973e+10 4.73895e-06 -0.000125873
0.0497984 -0.000798264 1.43878 1.35543e+10 81659.6 0.0214384 6.73618 0 2.35547e+10 3.29753e+10 279.509 -1588.4
0.0497601 -0.00159571 1.4383 1.35486e+10 81653 0.02957 4.39314 0 2.35557e+10 3.29756e+10 574.341 -3125.29
0.0496962 -0.00239151 1.43841 1.355e+10 81654.8 0.0393114 6.70864 0 2.35605e+10 3.29806e+10 825.38 -4643.33
0.0496068 -0.00318486 1.43724 1.35378e+10 81647.6 0.0488839 5.59354 0 2.35641e+10 3.29834e+10 909.742 -6020.33
0.049492 -0.00397493 1.43736 1.35398e+10 81653.3 0.0584565 6.81873 0 2.35724e+10 3.29923e+10 1520.56 -7459.19
0.049352 -0.00476092 1.43596 1.35209e+10 81618.2 0.0668861 7.76715 0 2.35693e+10 3.29851e+10 1735.08 -8519.6
0.0491868 -0.00554202 1.43567 1.35222e+10 81642.9 0.0761697 5.18269 0 2.35852e+10 3.30039e+10 1516.66 -9879.33
0.0489967 -0.00631742 1.43425 1.35048e+10 81618.5 0.0816995 9.66508 0 2.35838e+10 3.29997e+10 2356.8 -10825.4
0.0487818 -0.00708634 1.43418 1.35023e+10 81607.3 0.0886448 7.866 0 2.35886e+10 3.30032e+10 1991.76 -11668.1
0.0485424 -0.00784797 1.43361 1.35003e+10 81627.5 0.0934668 2.2316 0 2.36e+10 3.30169e+10 1290.53 -12740
0.0482788 -0.00860153 1.43257 1.34913e+10 81632.4 0.0942382 10.7746 0 2.36024e+10 3.30199e+10 1617.34 -13391.8
0.0479911 -0.00934626 1.43512 1.35196e+10 81658.4 0.0962313 9.98893 0 2.36123e+10 3.30328e+10 1239.94 -14128.8
0.0476796 -0.0100814 1.43368 1.35051e+10 81652.8 0.0922275 20.9292 0 2.36058e+10 3.30257e+10 1345.07 -14571.4
0.0473448 -0.0108061 1.43765 1.35625e+10 81773.3 0.0889933 27.2714 0 2.36367e+10 3.30705e+10 815.254 -14633.9
0.0469869 -0.0115198 1.43712 1.35545e+10 81755.3 0.0830712 18.2164 0 2.3625e+10 3.30567e+10 -1332.31 -14436.2
0.0466064 -0.0122216 1.44173 1.36191e+10 81881 0.0764992 34.4764 0 2.36542e+10 3.31003e+10 -2866.64 -14928.2
0.0462035 -0.0129109 1.44269 1.36349e+10 81922 0.0672117 24.7259 0 2.36577e+10 3.31086e+10 -4322.64 -14977.3
0.0457787 -0.0135869 1.44531 1.36711e+10 81989.7 0.058762 56.3796 0 2.36697e+10 3.31284e+10 -6710.95 -14092.2
0.0453325 -0.0142489 1.44854 1.37171e+10 82083 0.0645554 46.288 0 2.37015e+10 3.3171e+10 -10608.7 -13365.8
